آدینه;существительное;пятница
آشنا;существительное;друг
آکتوبر;существительное;октябрь
آیودین;существительное;хим. иод (йод)
آیینه;существительное;зеркало
ابریشم;существительное;шёлк
اپریل;существительное;апрель
ارسینک;существительное;хим. мышьяк
اسمان;существительное;небо
افغانستان;существительное;геогр. Афганистан
اگست;существительное;август
انگشت;существительное;анат. палец
اواز;существительное;голос
باد;существительное;ветер
بازو;существительное;анат. рука
بازوبند;существительное;браслет
بام;существительное;крыша
بحیره;существительное;геогр. озеро
بدن;существительное;тело
بزرگ;прилагательное;большой
بشر;существительное;человек, тело
بناكردن;глагол;строить
بهار;существительное;весна
بیر;существительное;слива
بینی;существительное;нос
پانگ;существительное;тигр
پای;существительное;анат. нога
پدر;существительное;отец, папа
پروانه;существительное;зоол. бабочка, мотылёк
پسر;существительное;сын
پل;существительное;мост
پنجره;существительное;окно
پنیر;существительное;сыр
پوتاشیم;существительное;хим. калий
تابستان;существительное;лето
تبر;существительное;топор
تخم;существительное;яйцо
ترس;существительное;страх
تیر;существительное;стрела
جزیره;существительное;остров
جست;существительное;хим. цинк
جمعه;существительное;пятница
جنگ;существительное;война
جنگل;существительное;лес
جنوری;существительное;январь
جهیل;существительное;геогр. озеро
جوان;прилагательное;молодой
جولای;существительное;июль
جون;существительное;июнь
چای;существительное;чай
چهار‌شنبه;существительное;среда (день недели)
خدا;существительное;религ. бог
خر;существительное;зоол. осёл, ишак (Equus asinus asinus)
خواهر;существительное;сестра (дочь тех же родителей)
خون;существительное;кровь
دختر;существительное;дочь
درد;существительное;боль
دسمبر;существительное;декабрь
دشت;существительное;пустыня
دشمن;существительное;враг
دعا;существительное;молитва
دل;существительное;анат. сердце
دندان;существительное;анат. зуб
دنمارکی;существительное;датчанин
دیروز;наречие;вчера
دیوار;существительное;архит. стена
رباه;существительное;зоол. лиса, лисица (vulpes)
رفیق;существительное;друг
روئ;существительное;анат. лицо (передняя часть головы)
ریش;существительное;борода
ریگ;существительное;песок
زاغ;существительное;зоол. ворона (Corvus)
زانو;существительное;анат. колено
زبان;существительное;язык (мышечный орган)
زرد;существительное;жёлтый
زمستان;существительное;зима
زن;существительное;женщина
زهر;существительное;яд, отрава
ساعت;существительное;час
سال;существительное;год
سبز;прилагательное;зелёный
سپتمبر;существительное;сентябрь
سر;существительное;анат. голова
سرکه;существительное;уксус
سفید;прилагательное;белый
سقف;существительное;потолок
سگ;существительное;зоол. собака
سلفر;существительное;хим. сера
سلیکان;существительное;хим. кремний
سنگ;существительное;камень
سوال;существительное;вопрос
سیاره;существительное;астрон. планета
سیاه;прилагательное;чёрный
شانه;существительное;анат. плечо
شب;существительное;ночь
شراب;существительное;вино
شفتالو;существительное;персик (плод)
شهر;существительное;город
صابون;существительное;мыло
صدا;существительное;голос
صفحه;существительное;страница
طبعت;существительное;природа
طلا;существительное;золото
عسل;существительное;мёд
عقاب;существительное;зоол. орёл (Aquila)
عنکبوت;существительное;зоол. паук
فامیل;существительное;семья
فبرری;существительное;февраль
فلورین;существительное;хим. фтор
فولاد;существительное;сталь
فیل;существительное;слон
قاز;существительное;орнитол. гусь (Anser)
قاشق;существительное;ложка
قرمز;прилагательное;красный
قلب;существительное;анат. сердце
قند;существительное;сахар
قو;существительное;зоол. лебедь
قورباغه;существительное;зоол. лягушка
قیچی;существительное;ножницы
کاغذ;существительное;бумага
کرم;существительное;зоол. червь, червяк
کلسیم;существительное;хим. кальций
کلکین;существительное;окно
کلورین;существительное;хим. хлор
کلید;существительное;ключ
کوبالت;существительное;хим. кобальт
کوچه;существительное;улица
کیمیا;существительное;химия
گرگ;существительное;зоол. волк (Canis lupus)
گره;существительное;узел
گل;существительное;глина
گوش;существительное;ухо
گوگرد;существительное;хим. сера
گیتار;существительное;муз. гитара
لاله;существительное;ботан. тюльпан (Tulipa)
لب;существительное;анат. губа
لغت;существительное;слово
مار;существительное;зоол. змея (serpens)
ماهی;существительное;рыба
مذهب;существительное;религия; вероисповедание
مرد;существительное;мужчина, муж
مرغابی;существительное;орнитол. утка
مرگ;существительное;смерть
مس;существительное;хим. медь
مگنیزیم;существительное;хим. магний
مورچه;существительное;муравей
موش;существительное;зоол. мышь (mus)
ميخ;существительное;гвоздь
نام;существительное;имя
نان;существительное;хлеб
نایتروجن;существительное;хим. азот
نقره;существительное;хим. серебро
نمک;существительное;соль
نومبر;существительное;ноябрь
نیکل;существительное;хим. никель
هفته;существительное;неделя
همشیره;существительное;сестра (дочь тех же родителей)
هوا;существительное;погода
ﻭ;союз;и
وقت;существительное;время
یک‌شنبه;существительное;воскресенье
